대여소번호,count
2270,3170
1353,3162
3604,3156
942,3138
2380,3135
1181,3130
1370,3128
4863,3126
1713,3124
1477,3119
1079,3110
1196,3100
2309,3100
679,3100
1511,3098
295,3088
1853,3082
2815,3078
1315,3074
1678,3074
1510,3069
3555,3062
3629,3060
2822,3058
1703,3057
2318,3057
2826,3057
4861,3054
2428,3037
4555,3033
483,3032
1304,3028
3675,3018
1971,3006
1731,3005
822,3005
1071,3004
3618,2990
2649,2989
2526,2988
2269,2976
1064,2975
934,2971
3609,2964
4035,2961
857,2960
2650,2950
2210,2949
724,2947
2535,2945
3426,2935
2905,2926
1290,2924
2509,2916
3109,2914
2241,2908
4581,2907
5057,2904
3114,2894
4475,2880
218,2873
4604,2867
2305,2864
2358,2859
2812,2858
4304,2853
3765,2851
2804,2845
3703,2842
4622,2840
1006,2838
4073,2834
4162,2833
469,2824
4603,2821
4255,2821
1365,2804
600,2790
1714,2790
4064,2780
966,2776
1857,2770
3799,2763
161,2761
4672,2757
1558,2755
1823,2752
494,2750
4667,2741
4579,2727
1992,2724
3543,2718
4312,2708
522,2707
4580,2706
4485,2692
3882,2690
2130,2685
3714,2681
2825,2681
973,2671
3521,2671
1573,2670
2363,2666
3111,2662
863,2661
1443,2652
467,2651
1241,2646
2539,2646
2388,2645
4807,2640
534,2633
2516,2616
1291,2612
1453,2605
3612,2601
449,2598
4826,2595
2548,2589
2329,2589
2184,2587
1053,2586
3804,2584
2370,2582
591,2575
1037,2575
1863,2566
921,2555
3880,2553
477,2551
4766,2545
297,2538
3427,2534
2258,2533
992,2530
2545,2528
3902,2526
2311,2522
858,2517
2533,2516
608,2514
1038,2514
2547,2513
2336,2511
3538,2508
489,2504
1866,2496
2401,2495
2081,2489
1513,2481
823,2476
2203,2465
4461,2459
4761,2459
1820,2459
2818,2445
1847,2442
2398,2435
2256,2419
4590,2416
2283,2402
2416,2394
4490,2393
994,2389
4112,2381
1101,2358
2064,2357
4607,2354
4862,2354
1054,2353
2382,2349
4876,2347
3630,2338
3611,2337
2357,2329
2351,2328
4039,2327
5064,2322
3530,2314
1427,2314
977,2310
3674,2303
3126,2299
4625,2297
3640,2288
1756,2287
1979,2277
1435,2270
4602,2268
479,2267
945,2264
1541,2257
1728,2254
2376,2250
569,2243
4153,2241
2807,2241
1089,2236
3806,2232
681,2231
443,2223
2349,2221
616,2212
1188,2209
2350,2209
3682,2206
384,2201
1062,2192
1421,2192
4473,2188
4633,2186
4125,2183
4516,2179
1200,2172
1545,2172
3117,2160
3602,2160
2808,2152
451,2151
432,2150
4216,2149
5059,2148
2817,2145
1410,2141
1366,2138
2282,2126
2510,2117
2390,2116
1379,2115
1816,2108
4573,2096
5056,2092
3688,2092
2078,2089
200,2083
1066,2076
3663,2072
1393,2066
2814,2058
3431,2058
2249,2056
812,2056
1463,2050
1673,2049
1850,2033
2226,2015
2386,2008
1836,1977
2347,1972
1377,1969
2092,1963
429,1962
4609,1961
3645,1930
4811,1920
1730,1909
2417,1907
4613,1886
4315,1884
2038,1880
3634,1876
4584,1874
4411,1866
2371,1852
2354,1851
4815,1845
2094,1836
3556,1834
2040,1832
1424,1831
4668,1827
1951,1825
3428,1823
3638,1819
4772,1816
4594,1810
2284,1810
3659,1806
3810,1798
3133,1798
3429,1795
4583,1788
2368,1787
3766,1763
2352,1750
4611,1743
1422,1741
4802,1735
4585,1731
1864,1723
2061,1723
3969,1719
3403,1710
969,1707
968,1685
3661,1683
4042,1675
3539,1673
3686,1665
1007,1663
1855,1659
854,1657
3401,1653
2517,1647
3418,1641
4782,1623
1675,1614
2248,1606
2403,1605
3404,1600
3605,1594
3801,1591
974,1586
2532,1578
3531,1576
2383,1574
1283,1573
924,1571
2141,1563
1082,1560
1445,1559
2093,1558
465,1555
2809,1552
1352,1549
2519,1549
2304,1548
2334,1546
1406,1546
3563,1546
938,1542
3968,1532
4075,1528
3912,1527
3616,1520
4021,1503
3643,1481
4589,1480
3621,1479
3430,1476
3532,1469
1679,1466
4608,1461
4825,1458
2225,1452
3652,1449
1342,1445
1376,1443
3615,1443
3636,1438
3813,1429
3561,1417
1052,1409
1039,1408
1969,1400
2425,1366
3641,1366
1242,1347
4873,1343
381,1342
4309,1338
2506,1329
2096,1318
3802,1311
1861,1305
2207,1300
1572,1299
855,1291
4479,1289
4760,1287
2257,1286
4612,1283
2805,1282
2806,1279
5066,1275
3503,1272
2609,1263
486,1259
4582,1255
4488,1254
